"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&vs=INTL.44-1-AFG-QBTU.A&vo=0&v=H&end=2016"
"Tue Apr 30 2019 10:30:49 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"","Austria","Quad Btu",0.47685408657009,0.47077634633964,0.47279296329304,0.46107884251017,0.44433725560791,0.46269668116939,0.46080050482373,0.40478964434824,0.5016749152313,0.50325901941187,0.46530813098366,0.47201061936887,0.49937615919071,0.51645381648667,0.49198796074291,0.51999000494927,0.48638556721097,0.49241179957458,0.51295010061259,0.54756325974119,0.56515864655684,0.55765833104342,0.55674430703633,0.49157501944819,0.51647152277312,0.50830751651,0.52499497165,0.5512973748,0.55318515702,0.57682138308459,0.54453298255165,0.50388084947967,0.5971786479335,0.56785719214249,0.56226229911044,0.5285220745466,0.54710184918712
"","Azerbaijan","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,0.778824898,0.718067532,0.661130936,0.644291,0.6508858,0.6194839906,0.7298447469,0.839759446,0.8366298716,0.8812074332,0.8792947305,0.9037713665,0.887903704,1.181106405,1.656947531,2.2133959922,2.4666552651,2.7548074377,2.8381873936055,2.7085416645198,2.6013722692508,2.5078543856663,2.4840754307229,2.5081694641854,2.4666600934401
"","Bahamas, The","Quad Btu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.878E-6,5.8296E-6,8.5644E-6,8.5869E-6,1.902E-5,1.8638E-5,1.8464E-5
"","Bahrain","Quad Btu",0.220221312,0.23686937,0.2430954,0.25078458,0.242185304,0.27144758,0.2957954,0.33180716,0.29719908,0.299530945,0.31258507254491,0.333316505,0.2873026746,0.3515295041,0.34856596,0.343588715,0.33392487885,0.39773490085,0.40371041345,0.4081326201,0.41491017639,0.425177272,0.44522205267,0.45209723682,0.45737722875,0.48675193655,0.5114821413,0.5278797329,0.5518634181,0.5545437128,0.56172406165425,0.55737080907713,0.61207919817209,0.66217314232577,0.69717595637247,0.70059384850477,0.69010917497772
"","Bangladesh","Quad Btu",0.05359250205625,0.06238692037026,0.06825055106506,0.0726667160484,0.1008482352,0.103918443,0.113381235,0.130883398,0.1506296584,0.165856932,0.163959578,0.173798892,0.2047011128,0.222818538,0.244679368,0.264079384,0.2728470228,0.27521807136,0.29566619585,0.3247264651,0.3514793865,0.374265359,0.407537918,0.45766931411294,0.49698555243254,0.5318876240719,0.58273434118587,0.62567983413537,0.69448856084368,0.75275535724456,0.77486525800154,0.77403445320529,0.84745897910001,0.87663349761776,0.91664294975605,1.0202214259425,1.1187507464067
"","Barbados","Quad Btu",0.0008376,0.0008376,0.00311759,0.00311759,0.005437136,0.00539758,0.00539758,0.003619164,0.0044676372,0.003805201,0.00382688937,0.003789914565,0.00478104144,0.004521707335,0.00427058703,0.004521707335,0.003811188225,0.003517226115,0.00558879157,0.005806580335,0.00537439772,0.003913173905,0.00342744869,0.00342744869,0.0035131323,0.0042315868,0.0044126536,0.0041408424,0.0039827868,0.00248392335,0.003496579835642,0.003532754235642,0.0037201788434109,0.003958802235642,0.003428102235642,0.003725061035642,0.0038414881054109
"","Belarus","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,0.09670208,0.09646688,0.096059604,0.09378399,0.08880363,0.085859535,0.0867129642,0.08621794755,0.08725125231,0.087777452,0.0859030729,0.0842457896,0.0849215332,0.08250393168,0.0829769208,0.0821898464,0.08182248392,0.0785708671,0.069594032625947,0.068619894645947,0.068806303572648,0.070415487625947,0.069793934545947,0.060202153869412,0.076091232937595
"","Belgium","Quad Btu",0.30019217182363,0.29986761357243,0.33598645700672,0.408248541373,0.45096733173689,0.51319012807395,0.54602051861393,0.53854596654514,0.4988451917644,0.46419114104385,0.45881118949785,0.45004688113672,0.44625748253912,0.4251947934,0.413147453,0.421087495128,0.439801679489,0.47869931859,0.468369883606,0.498023544446,0.492247975909,0.477170278792,0.486964286552,0.485856540991,0.489457483226,0.497034032635,0.496805108834,0.519475593393,0.503448769179,0.53806479628728,0.56786937302453,0.5863397450728,0.52782159275432,0.56081365819434,0.48442084510243,0.41973589231074,0.58720318459419
"","Belize","Quad Btu",0.0004155201316,0.0004181201048,0.0004181601852,0.000420800728,0.0004176,0.00041788,0.00041784,0.00041676,0.00041296,0.00041728,0.00041608,0.00041744,0.00041368,0.00041236,0.00041264,0.00082496,0.001034,0.001103004,0.0010727244,0.0011780352,0.00135907923,0.001359864132,0.001306955829,0.001026513,0.00103610512,0.001087941195,0.006602427441,0.00869674668,0.00973932544,0.010521897744,0.011356158792,0.01111910748,0.0086019968,0.009046252,0.006074788214,0.006610219,0.006842968
"","Benin","Quad Btu",0,0,0,0.00896002,0.01573068,0.0179288,0.0179288,0.015690255,0.01147972,0.00896732,0.00896732,0.00896732,0.0125886432,0.013005228,0.013453594,0.00672549,0.005009466,0.002914379,0.0025009949,0.0025010442,0.00155110068,0.001569281,0.001793464,0.001813714,1.0016E-5,9.999E-6,4.9595E-5,3.9536E-5,3.9416E-5,1.952E-5,1.9512E-5,1.9432E-5,1.9032E-5,2.8623E-5,2.853E-5,0.00018638,0.0001855632
